"ID","SITE_ID","TASK_NAME","INVOICE_PRICE","CREATED_AT"
312,27,"UPLODING ",0,"2026-03-20 18:32:20"
262,17,"Staff outsourcing 			 				",2249.98,"2026-03-20 08:03:41"
273,37,"Page Count up to 30  (15A4 Papers with duplex printing)				",150,"2026-03-20 09:30:33"
286,33,"Document scanning and digitizing 				",2.4,"2026-03-20 09:59:06"
297,45,"SCANNING",0,"2026-03-20 11:12:27"
332,4,"Digital Policy Creation ",20,"2026-03-23 12:30:21"
333,4,"Digital Policy certificate Creation ",15,"2026-03-23 12:30:21"
334,4,"printing of Policy Certificate on letter Heads or pre-printed template on 300 gms",15,"2026-03-23 12:30:21"
335,4,"DTA Policy Book",275,"2026-03-23 12:30:21"
336,4,"SAMPATH BANK LETTER HEAD",11.5,"2026-03-23 12:30:21"
337,4,"Policy Repriting New Business (Certificate)",20,"2026-03-23 12:30:21"
338,4,"Policy Repriting New Business (BOOK)",275,"2026-03-23 12:30:21"
330,4,"""Preparation of Packs by inserting cover letter, policy certificate and health card """,20,"2026-03-23 12:30:21"
331,4,"MOQ Policy certificate Creation ",20,"2026-03-23 12:30:21"
339,4,"Policy Repriting Banca (Certificate)",20,"2026-03-23 12:30:21"
340,4,"Policy Repriting Banca (BOOK)",275,"2026-03-23 12:30:21"
341,4,"Policy Repriting DTA",275,"2026-03-23 12:30:21"
342,4,"Policy Repriting PHS",275,"2026-03-23 12:30:21"
343,4,"Policy Repriting PHS (Certificate)",20,"2026-03-23 12:30:21"
344,4,"Manual Policy Book Preparation Group Life ",4,"2026-03-23 12:30:21"
345,4,"Manual Policy Book Preparation New Business",4,"2026-03-23 12:30:21"
346,4,"Manual Policy Book Preparation Banca",4,"2026-03-23 12:30:21"
347,4,"Manual Policy Book Preparation DTA",4,"2026-03-23 12:30:21"
348,4,"Manual Policy Book Preparation PHS",4,"2026-03-23 12:30:21"
349,4,"Return Policy Book Preparation BRANCH",4,"2026-03-23 12:30:21"
350,4,"Return Policy Book Preparation PHS",4,"2026-03-23 12:30:21"
351,4,"Return Policy Book Preparation BANCA",4,"2026-03-23 12:30:21"
352,4,"Return Policy Book Preparation DTA",4,"2026-03-23 12:30:21"
353,4,"Return Policy Book Preparation ENDORSEMENT(PHS)",4,"2026-03-23 12:30:21"
354,4,"Endorsement Printing PHS",40,"2026-03-23 12:30:21"
355,4,"Endorsement Printing with cards (PHS)",50,"2026-03-23 12:30:21"
356,4,"Auto Generate Letters (Half Yearly Statement) (PHS)",18.5,"2026-03-23 12:30:21"
357,4,"Auto Generate Account Statement  (PHS)",0,"2026-03-23 12:30:21"
358,4,"Auto Generate Cs Short Premium Letters (PHS)",11.5,"2026-03-23 12:30:21"
359,4,"Auto Generated Lapes Notice (PHS)",18.5,"2026-03-23 12:30:21"
360,4,"Auto Generated Premium Notice (PHS)",11.5,"2026-03-23 12:30:21"
361,4,"Auto Generated Revival Notice (PHS)",11.5,"2026-03-23 12:30:21"
362,4,"Premium Paying Term (PHS)",11.5,"2026-03-23 12:30:21"
363,4,"Number Change (PHS)",11.5,"2026-03-23 12:30:21"
364,4,"COM Bank (PHS)",11.5,"2026-03-23 12:30:21"
365,4,"KYC Letter (PHS)",25.5,"2026-03-23 12:30:21"
366,4,"FULLY PAID Letter (PHS)",11.5,"2026-03-23 12:30:21"
367,4,"Suspense Letter (PHS)",11.5,"2026-03-23 12:30:21"
